location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats
"Parsonfield, ME",Chillis (Morison) House,1830,Jonathan D. Poor,mural,signed,,T,,,,T,,,,,,,,T,,,,,T,,,,,T,,,,,T,T,T,,T,T,,T
"East Haverhill, MA",Ingalls-Colby House,1830,Porter School,mural,Lipman,,,T,,,,,T,T,T,,,T,T,,,T,,,T,,T,,T,T,T,,,,,,,,,T,T
"Mt. Vernon, ME",Burbank House,1835,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,T,,T,,,T
"Westwood, MA",E.A. West House,1838,Rufus Porter and Stephen Twombly Porter,mural,tradition,,,,,,,,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
"Winthrop, ME",Knowlton House,1830,E.J. Gilbert,mural,signed,,,,,T,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,
"Turner, ME",Captain Leavitt House,1830,Orison Wood,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,T,,,T,,T,T
"Fryeburg, ME",Warren-Towle House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyme, NH",Kent House,1825,Porter School,mural,Lipman,T,,,T,,,,T,,,,,,T,,T,T,,,,,T,T,T,,,,,T,T,,,,T,,
"Groveland, MA","Stephen Parker, Jr. House",1830,Porter School,mural,Lefko,,,T,,,,,,T,T,,,,,T,,,,,T,,T,,T,,T,,,,,,,,,,T
"Westwood, MA",Timothy Smith House,1835,Porter School,mural,Lefko,,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
"Amesbury, MA",Bartlett (Abraham Colby) House,1830,Porter School,mural,Lipman,,,T,,,,T,T,,,,T,T,,T,,T,,,T,,,,,,,,,,,,,,,,
"Farmington Falls, ME",Russ House,1830,Jonathan D. Poor and Paine,mural,tradition,,T,,,,T,,,,,,,,,,,T,,T,T,,,T,T,,T,,,,T,T,,T,,,T
"Pepperell, MA",Artemas Hemenway Tavern,1830,Porter School,mural,Lefko,T,,T,T,,,T,,,,T,,,,,,,,,,T,,,,,,,,,,,T,,,,
"Strong, ME",William McCleary House,1835,Jonathan D. Poor,mural,tradition,T,T,,,T,T,,,,,,,,T,,,,,T,,,,T,,,,,T,T,T,T,,T,,T,T
"Winchester, MA",Edmund Parker House,1830,Porter School,mural,Lefko,,,T,,,,,,,,,,,T,,,,,T,,,T,T,,,T,,,,,,,,,T,
"Mason, NH",Asher Tarbell House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,T,T
"Farmington, ME",Benjamin Stanley House,1835,Jonathan D. Poor,mural,tradition,T,,,,,,,,,,T,,,,,,,,,,,,,,,,,,T,,,,T,,,
"New Ipswich, NH",Solomon Russell House,1825,Porter School,mural,Lipman,,,,,,,,,T,,,,,T,,T,,,,,,,,,,,,,,,,,,,,
"Orford, NH",Hinckley House,1824,Porter School,mural,Lipman,,,T,,,,,,,,,,,,,,T,T,,,,,,,,T,,,,,,,,T,,
"North Leeds, ME",Barker House,1835,Porter School,mural,Lefko,,T,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,T,,T,,,T
"Farmington, ME",Dyer/Currier House,1830,Jonathan D. Poor and Paine,mural,tradition,T,T,,,T,,,,,,,,,,,,,,,,,,T,,,,,T,,,,,T,,,
"Bridgton, ME",Deacon Libby House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bedford, MA",Dutton House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,T
"Ossipee, NH",Brewster House,1825,Porter School,mural,Lefko,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
"Sturbridge, MA",Roswell Warner House,1830,Porter School,mural,Lefko,,,T,,,,,,,,,,T,T,,,,,,T,,T,,,,,,,,,,,,,,
"Groveland, MA",Savery Homestead,1830,Porter School,mural,Lipman,,,,,,,,T,T,,,T,T,T,,,,,,T,,,,,T,,,,,,,,,,,T
