subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Deacon John Bailey House,Portland,ME,1827,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vTFJerZe8krrDh6HMnfQ-g2RhxnGNnYOIJPDdY0lj-LdI_YzOSLYPwGkLJATgZdo0GN2KRB-kDhzYdk/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Portland, ME","<b>Deacon John Bailey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1827<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTFJerZe8krrDh6HMnfQ-g2RhxnGNnYOIJPDdY0lj-LdI_YzOSLYPwGkLJATgZdo0GN2KRB-kDhzYdk/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",school,school,43.6600364484155,-70.2581856895102,"c(43.6600364484155, -70.2581856895102)"
Ellis Place,Portland,ME,1827,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b>Ellis Place</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1827<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.655285698329,-70.268262186691,"c(43.655285698329, -70.268262186691)"
Bartlett House,Amesbury,MA,1830,Porter School,mural,Lipman,NA,NA,"Amesbury, MA","<b>Bartlett House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.8566260328621,-70.9350558336369,"c(42.8566260328621, -70.9350558336369)"
Penniman-Stearns House,Bedford,MA,1830,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b>Penniman-Stearns House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.4882048125975,-71.2816348458481,"c(42.4882048125975, -71.2816348458481)"
Jonas Monroe House,Bedford,MA,1830,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b>Jonas Monroe House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.4873990969237,-71.2851250190276,"c(42.4873990969237, -71.2851250190276)"
Dutton House,Bedford,MA,1830,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b>Dutton House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.4868400107588,-71.2811219797477,"c(42.4868400107588, -71.2811219797477)"
Carroll Dunham House,Bedford,MA,1830,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b>Carroll Dunham House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.4882992990534,-71.2740114594948,"c(42.4882992990534, -71.2740114594948)"
Job Lane House,Bedford,MA,1830,Porter School,mural,Lipman,https://joblanefarmmuseum.org/wp-content/uploads/2021/10/DSCN1317-768x576.jpg,Job Lane Farm Museum,"Bedford, MA","<b>Job Lane House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://joblanefarmmuseum.org/wp-content/uploads/2021/10/DSCN1317-768x576.jpg', width = '200'><br><small>Image from Job Lane Farm Museum</small>",school,school,42.4929310265878,-71.2848484959517,"c(42.4929310265878, -71.2848484959517)"
Donald Schult House,Billerica,MA,1830,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b>Donald Schult House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5598376551501,-71.26279166652,"c(42.5598376551501, -71.26279166652)"
Lyons House,Billerica,MA,1830,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b>Lyons House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5578000893049,-71.2659315853303,"c(42.5578000893049, -71.2659315853303)"
