town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Bridgton,ME,1830,Deacon Libby House,Porter School,mural,Lipman,NA,NA,"Bridgton, ME","<b> Bridgton, ME </b> <br> Porter School <br> Deacon Libby House","c(-70.7210131578093, 44.0525629445428)",school
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,mural,Lipman,NA,NA,"Bryant Pond, ME","<b> Bryant Pond, ME </b> <br> Jonathan D. Poor <br> Whitman Homestead","c(-70.5935967931548, 44.3902269557014)",jdp
Buxton,ME,1830,Carroll Rounds House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> Carroll Rounds House","c(-70.5112976798945, 43.6441937633012)",school
Buxton,ME,1830,A.I. Poulsen House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> A.I. Poulsen House","c(-70.5118850547782, 43.6354915716993)",school
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,mural,Lipman,NA,"color plate 14, color plate 15","Fryeburg, ME","<b> Fryeburg, ME </b> <br> Rufus Porter and Jonathan D. Poor <br> Barrows Homestead","c(-70.9901221366609, 44.0273015363241)",rp_mural
Fryeburg,ME,1830,Warren-Towle House,Porter School,mural,Lipman,NA,NA,"Fryeburg, ME","<b> Fryeburg, ME </b> <br> Porter School <br> Warren-Towle House","c(-70.990544447444, 44.0118214292763)",school
Gorham,ME,1830,Dr. Files House,Porter School,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Porter School <br> Dr. Files House","c(-70.4395794580926, 43.6827235125318)",school
Gorham,ME,1851,Fox House,Granville Fernald,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Granville Fernald <br> Fox House","c(-70.4435082342384, 43.6805200695318)",other
Hollis Center,ME,1830,Quillcote,Porter School,mural,Lipman,NA,"70, 71","Hollis Center, ME","<b> Hollis Center, ME </b> <br> Porter School <br> Quillcote","c(-70.6299459881723, 43.6466608295619)",school
Lewiston,ME,1830,H.O. Wood House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> H.O. Wood House","c(-70.2121273028868, 44.1132491652479)",other
Lewiston,ME,1830,Howard W. Mann House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> Howard W. Mann House","c(-70.2235496315009, 44.1084279000978)",other
Monmouth,ME,1830,Simon Martson House,Porter School,mural,Lipman,NA,NA,"Monmouth, ME","<b> Monmouth, ME </b> <br> Porter School <br> Simon Martson House","c(-70.0356347143649, 44.2287187612184)",school
Parsonfield,ME,1830,Dalton House,Paine,mural,Lipman,NA,NA,"Parsonfield, ME","<b> Parsonfield, ME </b> <br> Paine <br> Dalton House","c(-70.9380002937294, 43.740127768514)",other
Portland,ME,1827,Deacon John Bailey House,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Deacon John Bailey House","c(-70.2546912503278, 43.6558979603438)",school
Portland,ME,1827,Ellis Place,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Ellis Place","c(-70.2632851046449, 43.666669034656)",school
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,NA,NA,"Rumford, ME","<b> Rumford, ME </b> <br> Jonathan D. Poor <br> Phil Baker House","c(-70.5556226214923, 44.5486575972659)",jdp
Sebec,ME,1824,Ellerton Jette House,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,"61, 62","Sebec, ME","<b> Sebec, ME </b> <br> Rufus Porter and Moses Eaton, Jr. <br> Ellerton Jette House","c(-69.1242831333021, 45.2801401439667)",rp_mural
South Bridgton,ME,1830,Ingalls House,Porter School,mural,Lipman,NA,NA,"South Bridgton, ME","<b> South Bridgton, ME </b> <br> Porter School <br> Ingalls House","c(-70.7012044481902, 43.9785798235008)",school
Turner,ME,1830,Captain Leavitt House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Captain Leavitt House","c(-70.2609646852245, 44.2653140005615)",other
Turner,ME,1830,Unidentified House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Unidentified House","c(-70.2554798618129, 44.262183157917)",other
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,mural,Lipman,NA,93,"Webster Corner, ME","<b> Webster Corner, ME </b> <br> Orison Wood <br> Cushman Tavern","c(-70.0838671579332, 44.0472462210736)",other
West Auburn,ME,1830,Otis B. Tibbets House,Orison Wood,mural,Lipman,NA,NA,"West Auburn, ME","<b> West Auburn, ME </b> <br> Orison Wood <br> Otis B. Tibbets House","c(-70.2801544055149, 44.1639754128926)",other
West Mt. Vernon,ME,1835,Leon H. Marr House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Leon H. Marr House","c(-70.0080577118076, 44.4555177105353)",jdp
West Mt. Vernon,ME,1835,Unidentified House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Unidentified House","c(-70.0055679289179, 44.4564533235656)",jdp
Westbrook,ME,1830,Zebulon Trickey House,Porter School,mural,Lipman,NA,NA,"Westbrook, ME","<b> Westbrook, ME </b> <br> Porter School <br> Zebulon Trickey House","c(-70.3788147134502, 43.6854214585392)",school
Westbrook,ME,1851,Pride House,Granville Fernald,mural,Lipman,NA,NA,"Westbrook, ME","<b> Westbrook, ME </b> <br> Granville Fernald <br> Pride House","c(-70.3631263558382, 43.6828579833422)",other
